Field Name	Type	System	Content Pack
Last Seen	Short Text	Yes	
Last Modified	Date Picker	Yes	
Insert Time	Date Picker	Yes	
Malicious URLs	Multi Select	Yes	
Namespace	Multi Select	Yes	
OS Parent MD5	Multi Select	Yes	
Policy Remediable	Short Text	Yes	
Account Name	Short Text	Yes	
API Name	Short Text	Yes	
Cidr Range	Short Text	Yes	
Cloud Account Groups	Multi Select	Yes	
Cloud Account Owners	Multi Select	Yes	
Prisma Cloud Reason	Short Text	Yes	
Prisma Cloud Status	Short Text	Yes	
Region	Multi Select	Yes	
Resource Name	Short Text	Yes	
Recommendation	Short Text	Yes	
Remediation	Short Text	Yes	
Resolution Status Modified	Date Picker	Yes	
Status	Single Select	Yes	
Resolution Reason	Multi Select	Yes	
Tags	Short Text	Yes	
Indicator	Multi Select	Yes	
Unified Asset Inventory ID	Short Text	Yes	
Unified Asset Inventory Version	Short Text	Yes	
Rule Variation ID	Short Text	Yes	
Active Directory Container Canonical Name	Short Text	Yes	
Active Directory Container Creation Time	Date Picker	Yes	
Active Directory Container Dn	Short Text	Yes	
Active Directory Container Last Changed	Date Picker	Yes	
Active Directory Container Object Guid	Short Text	Yes	
Active Directory Trust Attributes	Number	Yes	
Active Directory Trust Creation Time	Date Picker	Yes	
Active Directory Trust Direction	Single Select	Yes	
Active Directory Trust Disallow Transivity	Boolean	Yes	
Active Directory Trust Dn	Short Text	Yes	
Active Directory Trust Forest Transitive	Boolean	Yes	
Active Directory Trust Intra Forest	Boolean	Yes	
Active Directory Trust Is Sid Filtering Forest Aware	Boolean	Yes	
Active Directory Trust Is Sid Filtering Quarantined	Boolean	Yes	
Active Directory Trust Last Changed	Date Picker	Yes	
Active Directory Trust Selective Authentication	Boolean	Yes	
Active Directory Trust Source Domain	Short Text	Yes	
Active Directory Trust Target Domain	Short Text	Yes	
Active Directory Trust Tgt Delegation	Boolean	Yes	
Active Directory Trust Type	Short Text	Yes	
Application Bundle Id	Short Text	Yes	
Application Protocol	Multi Select	Yes	
Appsec Deployed To Runtime	Boolean	Yes	
Appsec Impact	Single Select	Yes	
Auth Methods	Multi Select	Yes	
Backlog Status	Single Select	Yes	
Certificate Algorithm	Short Text	Yes	
Certificate Classifications	Multi Select	Yes	
Certificate Formatted Issuer Org	Short Text	Yes	
Certificate Id	Short Text	Yes	
Certificate Is Expired	Boolean	Yes	
Certificate Issuer	Short Text	Yes	
Certificate Issuer Details Country	Short Text	Yes	
Certificate Issuer Details Name	Short Text	Yes	
Certificate Issuer Details Org	Short Text	Yes	
Certificate Issuer Details Org Unit	Short Text	Yes	
Certificate Md5	Short Text	Yes	
Certificate Not After	Date Picker	Yes	
Certificate Not Before	Date Picker	Yes	
Certificate Owner Name	Short Text	Yes	
Certificate Owner Type	Short Text	Yes	
Certificate Public Key Bits	Number	Yes	
Certificate Serial	Short Text	Yes	
Certificate Sha1	Short Text	Yes	
Certificate Sha256	Short Text	Yes	
Certificate Subject	Short Text	Yes	
Certificate Subject Details Alternative Names	Multi Select	Yes	
Certificate Subject Details Country	Short Text	Yes	
Certificate Subject Details Org	Short Text	Yes	
Certificate Subject Details Org Unit	Short Text	Yes	
Certificate Template Cn	Short Text	Yes	
Certificate Template Creation Time	Date Picker	Yes	
Certificate Template Display Name	Short Text	Yes	
Certificate Template Dn	Short Text	Yes	
Certificate Template Domain Name	Short Text	Yes	
Certificate Template Enhanced Key Usage	Multi Select	Yes	
Certificate Template Guid	Short Text	Yes	
Certificate Template Requester Can Specify Subject	Boolean	Yes	
Certificate Template Requires Manager Approval	Boolean	Yes	
Certificate Template Schema Version	Number	Yes	
Certificate Template When Changed	Date Picker	Yes	
Certificate Version	Short Text	Yes	
Cloud Function Id	Short Text	Yes	
Cloud Function Name	Short Text	Yes	
Cloud Function Request Id	Short Text	Yes	
Cloud Function Runtime	Short Text	Yes	
Cloud Function Version	Short Text	Yes	
Cloud Project	Multi Select	Yes	
Cloud Project Id	Multi Select	Yes	
Cloud Provider	Multi Select	Yes	
Cloud Region	Multi Select	Yes	
Cloudsec Policy Ids	Multi Select	Yes	
Code Git Branch	Short Text	Yes	
Code Git Commit Author Email	Short Text	Yes	
Code Git Commit Author Name	Short Text	Yes	
Code Git Commit Author Pretty Name	Short Text	Yes	
Code Git Commit Hash	Short Text	Yes	
Code Git Commit Time	Date Picker	Yes	
Code Git Contributors	Multi Select	Yes	
Code Git Provider	Short Text	Yes	
Code Iac Framework	Single Select	Yes	
Code Scan Source	Single Select	Yes	
Data Data Pattern	Multi Select	Yes	
Data Data Profile	Multi Select	Yes	
Data Information Protection Label	Long Text	Yes	
Disk Is Root	Boolean	Yes	
Disk Name	Short Text	Yes	
Disk Partition Id	Short Text	Yes	
Disk Partition Id Type	Single Select	Yes	
Dns Dns Question Name	Multi Select	Yes	
Domain	Short Text	Yes	
Domain Clean Name	Short Text	Yes	
Domain Clean Trimmed Name	Short Text	Yes	
Domain Dn	Short Text	Yes	
Domain Domain Mode	Single Select	Yes	
Domain Forest	Short Text	Yes	
Domain Infrastructure Master	Short Text	Yes	
Domain Name	Short Text	Yes	
Domain Pdc Emulator	Short Text	Yes	
Domain Rid Master	Short Text	Yes	
Domain Security Properties Lockout Duration	Number	Yes	
Domain Security Properties Lockout Threshold	Number	Yes	
Domain Security Properties Max Password Age	Number	Yes	
Domain Security Properties Min Password Length	Number	Yes	
Domain Security Properties Password Complexity Enabled	Boolean	Yes	
Domain Sid	Short Text	Yes	
Email Attachment Extension	Multi Select	Yes	
Email Attachment Filename	Multi Select	Yes	
Email Attachment Sha256	Multi Select	Yes	
Email Bcc	Multi Select	Yes	
Email Bcc Names	Multi Select	Yes	
Email Cc	Multi Select	Yes	
Email Cc Names	Multi Select	Yes	
Email Conversation Id	Multi Select	Yes	
Email Creation Time	Multi Select	Yes	
Email Detection Tags	Multi Select	Yes	
Email From Address	Multi Select	Yes	
Email From Name	Multi Select	Yes	
Email Is Draft	Boolean	Yes	
Email Mailbox Owner	Multi Select	Yes	
Email Message Id	Multi Select	Yes	
Email Normalized Urls	Multi Select	Yes	
Email Recipients	Multi Select	Yes	
Email Recipients Names	Multi Select	Yes	
Email Return Path	Multi Select	Yes	
Email Sender	Multi Select	Yes	
Email Sender Name	Multi Select	Yes	
Email Subject	Multi Select	Yes	
Email Url Categories	Multi Select	Yes	
Event Type	Multi Select	Yes	
File Filename	Short Text	Yes	
File Group Id	Number	Yes	
File Group Name	Short Text	Yes	
File Last Modified	Date Picker	Yes	
File Metadata Change Time	Date Picker	Yes	
File Owner Id	Number	Yes	
File Owner Name	Short Text	Yes	
File Path	Multi Select	Yes	
File Permissions Group	Multi Select	Yes	
File Permissions Others	Multi Select	Yes	
File Permissions Owner	Multi Select	Yes	
File Position End Character	Number	Yes	
File Position End Line	Number	Yes	
File Position Start Character	Number	Yes	
File Position Start Line	Number	Yes	
File Sha256	Short Text	Yes	
File Size	Number	Yes	
File Volume Path	Short Text	Yes	
Finding Sources	Multi Select	Yes	
Http Method	Single Select	Yes	
Http Path	Short Text	Yes	
Http Request Client Type	Short Text	Yes	
Http Request Content Types	Multi Select	Yes	
Http Request User Agents	Multi Select	Yes	
Http Response Content Types	Multi Select	Yes	
Http Response Status Code	Single Select	Yes	
Http Version	Number	Yes	
Identity Access Keys	Multi Select	Yes	
Identity Access Levels	Multi Select	Yes	
Identity Access Statistics Resources	Number	Yes	
Identity Access Statistics Sensitive Data	Number	Yes	
Identity Access Statistics Services	Number	Yes	
Identity Access To Services	Multi Select	Yes	
Identity Account Access	Multi Select	Yes	
Identity App Registration Owners	Multi Select	Yes	
Identity App Registrations Ids	Multi Select	Yes	
Identity Badge Id	Short Text	Yes	
Identity Can Impersonate	Boolean	Yes	
Identity Clean Domain Name	Short Text	Yes	
Identity Clean Trimmed Domain Name	Short Text	Yes	
Identity Creation Time	Date Picker	Yes	
Identity Dn	Short Text	Yes	
Identity Domain	Short Text	Yes	
Identity Email	Short Text	Yes	
Identity Employee Id	Short Text	Yes	
Identity First Name	Short Text	Yes	
Identity Full Domain Name	Short Text	Yes	
Identity Group Creation Time	Date Picker	Yes	
Identity Group Dn	Short Text	Yes	
Identity Group Domain Name	Short Text	Yes	
Identity Group Group Type	Short Text	Yes	
Identity Group Guid	Short Text	Yes	
Identity Group Is Empty	Boolean	Yes	
Identity Group Is Nested	Boolean	Yes	
Identity Group Last Modified Time	Date Picker	Yes	
Identity Group Member Of	Multi Select	Yes	
Identity Group Number Of Groups	Number	Yes	
Identity Group Number Of Users	Number	Yes	
Identity Groups	Multi Select	Yes	
Identity Group Sid	Short Text	Yes	
Identity Guid	Short Text	Yes	
Identity Has Admin Permissions	Boolean	Yes	
Identity Has Mfa	Boolean	Yes	
Identity Identifier	Short Text	Yes	
Identity Identity Type	Single Select	Yes	
Identity Idp Provider	Single Select	Yes	
Identity Is Disabled	Boolean	Yes	
Identity Is Federated	Boolean	Yes	
Identity Is Guest	Boolean	Yes	
Identity Is Password Changeable	Boolean	Yes	
Identity Is Password Expired	Boolean	Yes	
Identity Is Password Never Expire	Boolean	Yes	
Identity Is Password Required	Boolean	Yes	
Identity Key Management Created By	Short Text	Yes	
Identity Key Management Last Modified	Date Picker	Yes	
Identity Key Management Last Modified By	Short Text	Yes	
Identity Last Login	Date Picker	Yes	
Identity Last Managed Time	Date Picker	Yes	
Identity Last Name	Short Text	Yes	
Identity Last Used	Date Picker	Yes	
Identity Managing Identities Count	Number	Yes	
Identity Middle Name	Short Text	Yes	
Identity Netbios	Short Text	Yes	
Identity Netbios Domain	Short Text	Yes	
Identity Netbios Sam Account Name	Short Text	Yes	
Identity Number Of Bounded Identities	Number	Yes	
Identity Number Of Policies	Number	Yes	
Identity Number Of Roles	Number	Yes	
Identity Os	Short Text	Yes	
Identity Ou	Short Text	Yes	
Identity Password Last Set	Date Picker	Yes	
Identity Policy Audit Account Logon Failure	Boolean	Yes	
Identity Policy Audit Account Logon Success	Boolean	Yes	
Identity Policy Creation Time	Date Picker	Yes	
Identity Policy Description	Short Text	Yes	
Identity Policy Guid	Short Text	Yes	
Identity Policy Is Empty	Boolean	Yes	
Identity Policy Is Excessive	Boolean	Yes	
Identity Policy Is Lanman Hash Storage Disabled	Boolean	Yes	
Identity Policy Is Ldap Signing Required	Boolean	Yes	
Identity Policy Is Smb Server Signing Required	Boolean	Yes	
Identity Policy Last Changed	Date Picker	Yes	
Identity Policy Number Of Groups	Number	Yes	
Identity Policy Number Of Users	Number	Yes	
Identity Policy Owner	Short Text	Yes	
Identity Policy Security Properties Lockout Duration	Number	Yes	
Identity Policy Security Properties Lockout Threshold	Number	Yes	
Identity Policy Security Properties Max Password Age	Number	Yes	
Identity Policy Security Properties Min Password Length	Number	Yes	
Identity Policy Security Properties Password Complexity Enabled	Boolean	Yes	
Identity Roles	Multi Select	Yes	
Identity Sam Account Name	Short Text	Yes	
Identity Scope	Single Select	Yes	
Identity Secret Expiration Time	Date Picker	Yes	
Identity Secret Is Expired	Boolean	Yes	
Identity Secret Is Rotation Enabled	Boolean	Yes	
Identity Secret Is Unrotated	Boolean	Yes	
Identity Secret Kms Key	Short Text	Yes	
Identity Secret Last Rotation	Date Picker	Yes	
Identity Secret Last Used	Date Picker	Yes	
Identity Secret Next Rotation	Date Picker	Yes	
Identity Secret Owning Service	Short Text	Yes	
Identity Secret Replicas Count	Number	Yes	
Identity Secret Service Account	Short Text	Yes	
Identity Secret Status	Single Select	Yes	
Identity Secret Vault	Short Text	Yes	
Identity Secret Version	Short Text	Yes	
Identity Service Principal Names	Multi Select	Yes	
Identity Sid	Short Text	Yes	
Identity Upn	Short Text	Yes	
Identity Username	Short Text	Yes	
Identity User Type	Single Select	Yes	
Kubernetes Cluster Name	Short Text	Yes	
Kubernetes Namespace Name	Short Text	Yes	
Malware Layer Id	Short Text	Yes	
Malware Verdict	Single Select	Yes	
Malware Virus Total Link	Short Text	Yes	
Observer Name	Multi Select	Yes	
Observer Sub Type	Short Text	Yes	
Observer Type	Multi Select	Yes	
Observer Unique Identifier	Short Text	Yes	
Organizational Unit Creation Time	Date Picker	Yes	
Organizational Unit Dn	Short Text	Yes	
Organizational Unit Guid	Short Text	Yes	
Organizational Unit Last Changed	Date Picker	Yes	
Owasp Category	Multi Select	Yes	
Remediation Owners	Multi Select	Yes	
Repository Name	Short Text	Yes	
Repository Organization	Short Text	Yes	
Resolution SLA	Long Text	Yes	
Resolution Timer	Long Text	Yes	
Secret Layer Id	Short Text	Yes	
Secret Secret Type	Single Select	Yes	
Secret Snippet	Short Text	Yes	
Secret Unique Identifier	Short Text	Yes	
Secret Validation	Single Select	Yes	
Security Control Effectiveness	Single Select	Yes	
Software Package Dependency Type	Single Select	Yes	
Software Package Installation Type	Single Select	Yes	
Software Package Language	Single Select	Yes	
Software Package Layer Id	Short Text	Yes	
Software Package Package Manager	Single Select	Yes	
Software Package Purl	Short Text	Yes	
Software Package Type	Single Select	Yes	
Software Package Version	Short Text	Yes	
Source Agent Content Version	Short Text	Yes	
Source Agent Identifier	Short Text	Yes	
Source Agent Installation Id	Short Text	Yes	
Source Agent Version	Short Text	Yes	
Source Host Fqdn	Multi Select	Yes	
Source Host Hostname	Short Text	Yes	
Source Host Ipv4 Addresses	Multi Select	Yes	
Source Host Ipv6 Addresses	Multi Select	Yes	
Source Host Os Family	Single Select	Yes	
Source Identity Identifier	Multi Select	Yes	
Source Identity Identity Type	Multi Select	Yes	
Source Identity Username	Multi Select	Yes	
Source Identity User Type	Multi Select	Yes	
Source Ipv4	Multi Select	Yes	
Source Location Country	Multi Select	Yes	
Source Process Causality Id	Multi Select	Yes	
Source Process Command Line	Multi Select	Yes	
Source Process Executable Filename	Multi Select	Yes	
Source Process Executable Path	Multi Select	Yes	
Source Process Executable Sha256	Multi Select	Yes	
Source Process Executable Signature Status	Multi Select	Yes	
Source Process Executable Signer	Multi Select	Yes	
Source Process Name	Multi Select	Yes	
Source User Username	Multi Select	Yes	
Target Agent Identifier	Multi Select	Yes	
Target Domain	Multi Select	Yes	
Target File Filename	Multi Select	Yes	
Target File Sha256	Multi Select	Yes	
Target Host Fqdn	Multi Select	Yes	
Target Host Hostname	Multi Select	Yes	
Target Host Ipv4 Addresses	Multi Select	Yes	
Target Host Ipv6 Addresses	Multi Select	Yes	
Target Identity Username	Multi Select	Yes	
Target Ipv4	Multi Select	Yes	
Target Ipv6	Multi Select	Yes	
Target Location Country	Multi Select	Yes	
Target Module Filename	Multi Select	Yes	
Target Module Sha256	Multi Select	Yes	
Target Port	Multi Select	Yes	
Target Process Command Line	Multi Select	Yes	
Target Process Executable Filename	Multi Select	Yes	
Target Process Executable Path	Multi Select	Yes	
Target Process Executable Sha256	Multi Select	Yes	
Target Process Executable Signature Status	Multi Select	Yes	
Target Process Executable Signer	Multi Select	Yes	
Target Process Name	Multi Select	Yes	
Target Registry Data	Multi Select	Yes	
Target Registry Key	Multi Select	Yes	
Target Registry Value	Multi Select	Yes	
Target Url	Multi Select	Yes	
Tls Cipher	Short Text	Yes	
Tls Protocol Version	Short Text	Yes	
Url	Short Text	Yes	
Vulnerability Cve Id	Short Text	Yes	
Vulnerability Cve Risk Factors	Multi Select	Yes	
Vulnerability Cvss Score	Number	Yes	
Vulnerability Cvss Vector	Short Text	Yes	
Vulnerability Fix Versions	Multi Select	Yes	
Vulnerability Severity	Single Select	Yes	
XPanse asset name	Multi Select	Yes	
Attack Surface Rule ID	Multi Select	Yes	
Broker VM ID	Multi Select	Yes	
Broker VM Name	Multi Select	Yes	
Broker VM IP	Multi Select	Yes	
XDR Collector Name	Multi Select	Yes	
XDR Collector ID	Multi Select	Yes	
XDR Collector IP	Multi Select	Yes	
Collector Name	Multi Select	Yes	
Collector Type	Multi Select	Yes	
Device ID	Multi Select	Yes	
Final Reporting Device IP	Multi Select	Yes	
Final Reporting Device Name	Multi Select	Yes	
Product	Multi Select	Yes	
Reporting Device IP	Multi Select	Yes	
Reporting Device Name	Multi Select	Yes	
Vendor	Multi Select	Yes	
